entity_id,entity_type,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes,is_lexical_exception
ttn_012548,given,male,Имамбай,Имамбай,Imambay,Imambai,zags_2025,ev_0004156,active,given,false
ttn_012551,given,male,Имамбәк,Имамбек,Imambak,Imambek,zags_2025,ev_0004159,active,given,false
ttn_012552,surname,male,Имамбәков,Имамбеков,Imambakov,Imambekov,zags_2025,ev_0014137,active,surname,false
ttn_012553,surname,female,Имамбәкова,Имамбекова,Imambakova,Imambekova,zags_2025,ev_0014138,active,surname,false
ttn_012556,given,male,Имамбирде,Имамбирде,Imambirde,Imambirde,zags_2025,ev_0004162,active,given,false
ttn_012561,surname,male,Имамбирдин,Имамбирдин,Imambirdin,Imambirdin,zags_2025,ev_0014139,active,surname,false
ttn_012562,surname,female,Имамбирдина,Имамбирдина,Imambirdina,Imambirdina,zags_2025,ev_0014140,active,surname,false
ttn_012568,given,male,Имамгали,Имамгали,Imamgali,Imamgali,zags_2025,ev_0004165,active,given,false
ttn_012571,surname,male,Имамгалиев,Имамгалиев,Imamgaliev,Imamgaliev,zags_2025,ev_0014141,active,surname,false
ttn_012572,surname,female,Имамгалиева,Имамгалиева,Imamgalieva,Imamgalieva,zags_2025,ev_0014142,active,surname,false
ttn_012575,surname,male,Имамгәрәев,Имамгараев,Imamgaraev,Imamgaraev,zags_2025,ev_0014143,active,surname,false
ttn_012576,surname,female,Имамгәрәева,Имамгараева,Imamgaraeva,Imamgaraeva,zags_2025,ev_0014144,active,surname,false
ttn_012579,given,male,Имамгәрәй,Имамгарай,Imamgaray,Imamgarai,zags_2025,ev_0004168,active,given,false
ttn_012585,given,male,Имаметдин,Имаметдин,Imametdin,Imametdin,zags_2025,ev_0004171,active,given,false
ttn_012588,surname,male,Имаметдинов,Имаметдинов,Imametdinov,Imametdinov,zags_2025,ev_0014145,active,surname,false
ttn_012589,surname,female,Имаметдинова,Имаметдинова,Imametdinova,Imametdinova,zags_2025,ev_0014146,active,surname,false
ttn_012597,given,male,Имамкол,Имамкул,Imamkol,Imamkul,zags_2025,ev_0004174,active,given,false
ttn_012598,surname,male,Имамколов,Имамкулов,Imamkolov,Imamkulov,zags_2025,ev_0014147,active,surname,false
ttn_012599,surname,female,Имамколова,Имамкулова,Imamkolova,Imamkulova,zags_2025,ev_0014148,active,surname,false
ttn_012602,given,male,Имаммалик,Имаммалик,Imammalik,Imammalik,zags_2025,ev_0004177,active,given,false
ttn_012605,surname,male,Имаммаликов,Имаммаликов,Imammalikov,Imammalikov,zags_2025,ev_0014149,active,surname,false
ttn_012606,surname,female,Имаммаликова,Имаммаликова,Imammalikova,Imammalikova,zags_2025,ev_0014150,active,surname,false
ttn_012609,given,male,Имаммөхәммәт,Имаммухаммет,Imammoxammat,Imammukhammet,zags_2025,ev_0004180,active,given,false
ttn_012610,surname,male,Имаммөхәммәтов,Имаммухамметов,Imammoxammatov,Imammukhammetov,zags_2025,ev_0014151,active,surname,false
ttn_012611,surname,female,Имаммөхәммәтова,Имаммухамметова,Imammoxammatova,Imammukhammetova,zags_2025,ev_0014152,active,surname,false
ttn_012619,given,male,Имамназар,Имамназар,Imamnazar,Imamnazar,zags_2025,ev_0004183,active,given,false
ttn_012622,surname,male,Имамназаров,Имамназаров,Imamnazarov,Imamnazarov,zags_2025,ev_0014153,active,surname,false
ttn_012623,surname,female,Имамназарова,Имамназарова,Imamnazarova,Imamnazarova,zags_2025,ev_0014154,active,surname,false
ttn_012626,surname,male,Имамов,Имамов,Imamov,Imamov,zags_2025,ev_0014155,active,surname,false
ttn_012627,surname,female,Имамова,Имамова,Imamova,Imamova,zags_2025,ev_0014156,active,surname,false
ttn_012630,given,male,Иман,Иман,Iman,Iman,zags_2025,ev_0004186,active,given,false
ttn_012633,given,male,Иманбәк,Иманбек,Imanbak,Imanbek,zags_2025,ev_0004189,active,given,false
ttn_012634,surname,male,Иманбәков,Иманбеков,Imanbakov,Imanbekov,zags_2025,ev_0014157,active,surname,false
ttn_012635,surname,female,Иманбәкова,Иманбекова,Imanbakova,Imanbekova,zags_2025,ev_0014158,active,surname,false
ttn_012643,given,male,Имангали,Имангали,Imangali,Imangali,zags_2025,ev_0004192,active,given,false
ttn_012646,surname,male,Имангалиев,Имангалиев,Imangaliev,Imangaliev,zags_2025,ev_0014159,active,surname,false
ttn_012647,surname,female,Имангалиева,Имангалиева,Imangalieva,Imangalieva,zags_2025,ev_0014160,active,surname,false
ttn_012655,given,male,Имангол,Имангул,Imangol,Imangul,zags_2025,ev_0004195,active,given,false
ttn_012656,surname,male,Иманголов,Имангулов,Imangolov,Imangulov,zags_2025,ev_0014161,active,surname,false
ttn_012657,surname,female,Иманголова,Имангулова,Imangolova,Imangulova,zags_2025,ev_0014162,active,surname,false
ttn_012660,surname,male,Иманов,Иманов,Imanov,Imanov,zags_2025,ev_0014163,active,surname,false
ttn_012661,surname,female,Иманова,Иманова,Imanova,Imanova,zags_2025,ev_0014164,active,surname,false
ttn_012664,given,male,Имаш,Имаш,Imash,Imash,zags_2025,ev_0004198,active,given,false
ttn_012667,surname,male,Имашев,Имашев,Imashev,Imashev,zags_2025,ev_0014165,active,surname,false
ttn_012668,surname,female,Имашева,Имашева,Imasheva,Imasheva,zags_2025,ev_0014166,active,surname,false
ttn_012674,given,male,Имран,Имран,Imran,Imran,zags_2025,ev_0004201,active,given,false
ttn_012677,given,male,Имранбәк,Имранбек,Imranbak,Imranbek,zags_2025,ev_0004204,active,given,false
ttn_012678,surname,male,Имранбәков,Имранбеков,Imranbakov,Imranbekov,zags_2025,ev_0014167,active,surname,false
ttn_012679,surname,female,Имранбәкова,Имранбекова,Imranbakova,Imranbekova,zags_2025,ev_0014168,active,surname,false
ttn_012688,surname,male,Имранов,Имранов~,Imranov,Imranov~,zags_2025,ev_0014169,active,surname,false
ttn_012689,surname,female,Имранова,Имранова,Imranova,Imranova,zags_2025,ev_0014170,active,surname,false
ttn_012692,given,male,Имранхан,Имранхан,Imranxan,Imrankhan,zags_2025,ev_0004207,active,given,false
ttn_012695,surname,male,Имранханов,Имранханов,Imranxanov,Imrankhanov,zags_2025,ev_0014171,active,surname,false
ttn_012696,surname,female,Имранханова,Имранханова,Imranxanova,Imrankhanova,zags_2025,ev_0014172,active,surname,false
ttn_012702,given,female,Индира,Индира,Indira,Indira,zags_2025,ev_0010159,active,given,false
ttn_012703,given,male,Индус,Индус,Indus,Indus,zags_2025,ev_0004210,active,given,false
ttn_012706,surname,male,Индусов,Индусов,Indusov,Indusov,zags_2025,ev_0014173,active,surname,false
ttn_012707,surname,female,Индусова,Индусова,Indusova,Indusova,zags_2025,ev_0014174,active,surname,false
ttn_012710,given,female,Инзәлия,Инзалия,Inzaliya,Inzaliia,zags_2025,ev_0010160,active,given,false
ttn_012714,surname,male,Инзилев,Инзилев,Inzilev,Inzilev,zags_2025,ev_0014175,active,surname,false
ttn_012715,surname,female,Инзилева,Инзилева,Inzileva,Inzileva,zags_2025,ev_0014176,active,surname,false
ttn_012718,given,male,Инзил,Инзиль,Inzil,Inzil,zags_2025,ev_0004213,active,given,false
