review_id,subject_kind,subject_id,queue_reason,suggested_relation,source_id,evidence_id,notes
rq_0000074,excluded_entity,ttn_000191,generated_patronymic,review_candidate,zags_2025,ev_0000081,patronymic
rq_0000075,excluded_entity,ttn_000195,generated_patronymic,review_candidate,zags_2025,ev_0000083,patronymic
rq_0000076,excluded_entity,ttn_000196,generated_patronymic,review_candidate,zags_2025,ev_0000084,patronymic
rq_0000077,excluded_entity,ttn_000200,generated_patronymic,review_candidate,zags_2025,ev_0000086,patronymic
rq_0000078,excluded_entity,ttn_000201,generated_patronymic,review_candidate,zags_2025,ev_0000087,patronymic
rq_0000079,excluded_entity,ttn_000205,generated_patronymic,review_candidate,zags_2025,ev_0000089,patronymic
rq_0000080,excluded_entity,ttn_000206,generated_patronymic,review_candidate,zags_2025,ev_0000090,patronymic
rq_0000081,excluded_entity,ttn_000210,generated_patronymic,review_candidate,zags_2025,ev_0000092,patronymic
rq_0000082,excluded_entity,ttn_000211,generated_patronymic,review_candidate,zags_2025,ev_0000093,patronymic
rq_0000083,excluded_entity,ttn_000214,generated_patronymic,review_candidate,zags_2025,ev_0000095,patronymic
rq_0000084,excluded_entity,ttn_000215,generated_patronymic,review_candidate,zags_2025,ev_0000096,patronymic
rq_0000085,excluded_entity,ttn_000221,generated_patronymic,review_candidate,zags_2025,ev_0000101,patronymic
rq_0000086,excluded_entity,ttn_000222,generated_patronymic,review_candidate,zags_2025,ev_0000102,patronymic
rq_0000087,excluded_entity,ttn_000225,generated_patronymic,review_candidate,zags_2025,ev_0000098,patronymic
rq_0000088,excluded_entity,ttn_000226,generated_patronymic,review_candidate,zags_2025,ev_0000099,patronymic
rq_0000089,excluded_entity,ttn_000230,generated_patronymic,review_candidate,zags_2025,ev_0000104,patronymic
rq_0000090,excluded_entity,ttn_000231,generated_patronymic,review_candidate,zags_2025,ev_0000105,patronymic
rq_0000091,excluded_entity,ttn_000235,generated_patronymic,review_candidate,zags_2025,ev_0000107,patronymic
rq_0000092,excluded_entity,ttn_000236,generated_patronymic,review_candidate,zags_2025,ev_0000108,patronymic
rq_0000093,excluded_entity,ttn_000240,generated_patronymic,review_candidate,zags_2025,ev_0000110,patronymic
rq_0000094,excluded_entity,ttn_000241,generated_patronymic,review_candidate,zags_2025,ev_0000111,patronymic
rq_0000095,excluded_entity,ttn_000242,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000096,excluded_entity,ttn_000243,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000097,excluded_entity,ttn_000247,generated_patronymic,review_candidate,zags_2025,ev_0000113,patronymic
rq_0000098,excluded_entity,ttn_000248,generated_patronymic,review_candidate,zags_2025,ev_0000114,patronymic
rq_0000099,excluded_entity,ttn_000253,generated_patronymic,review_candidate,zags_2025,ev_0000119,patronymic
rq_0000100,excluded_entity,ttn_000254,generated_patronymic,review_candidate,zags_2025,ev_0000120,patronymic
rq_0000101,excluded_entity,ttn_000257,generated_patronymic,review_candidate,zags_2025,ev_0000116,patronymic
rq_0000102,excluded_entity,ttn_000258,generated_patronymic,review_candidate,zags_2025,ev_0000117,patronymic
rq_0000103,excluded_entity,ttn_000259,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000104,excluded_entity,ttn_000261,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000105,excluded_entity,ttn_000262,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000106,excluded_entity,ttn_000263,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000107,excluded_entity,ttn_000267,generated_patronymic,review_candidate,zags_2025,ev_0000122,patronymic
rq_0000108,excluded_entity,ttn_000268,generated_patronymic,review_candidate,zags_2025,ev_0000123,patronymic
rq_0000109,excluded_entity,ttn_000272,generated_patronymic,review_candidate,zags_2025,ev_0000125,patronymic
rq_0000110,excluded_entity,ttn_000273,generated_patronymic,review_candidate,zags_2025,ev_0000126,patronymic
rq_0000111,excluded_entity,ttn_000277,generated_patronymic,review_candidate,zags_2025,ev_0000128,patronymic
rq_0000112,excluded_entity,ttn_000278,generated_patronymic,review_candidate,zags_2025,ev_0000129,patronymic
rq_0000113,excluded_entity,ttn_000282,generated_patronymic,review_candidate,zags_2025,ev_0000131,patronymic
rq_0000114,excluded_entity,ttn_000283,generated_patronymic,review_candidate,zags_2025,ev_0000132,patronymic
rq_0000115,excluded_entity,ttn_000287,generated_patronymic,review_candidate,zags_2025,ev_0000134,patronymic
rq_0000116,excluded_entity,ttn_000288,generated_patronymic,review_candidate,zags_2025,ev_0000135,patronymic
rq_0000117,excluded_entity,ttn_000292,generated_patronymic,review_candidate,zags_2025,ev_0000137,patronymic
rq_0000118,excluded_entity,ttn_000293,generated_patronymic,review_candidate,zags_2025,ev_0000138,patronymic
rq_0000119,excluded_entity,ttn_000297,generated_patronymic,review_candidate,zags_2025,ev_0000140,patronymic
rq_0000120,excluded_entity,ttn_000298,generated_patronymic,review_candidate,zags_2025,ev_0000141,patronymic
rq_0000121,excluded_entity,ttn_000302,generated_patronymic,review_candidate,zags_2025,ev_0000143,patronymic
rq_0000122,excluded_entity,ttn_000303,generated_patronymic,review_candidate,zags_2025,ev_0000144,patronymic
rq_0000123,excluded_entity,ttn_000307,generated_patronymic,review_candidate,zags_2025,ev_0000146,patronymic
rq_0000124,excluded_entity,ttn_000308,generated_patronymic,review_candidate,zags_2025,ev_0000147,patronymic
rq_0000125,excluded_entity,ttn_000312,generated_patronymic,review_candidate,zags_2025,ev_0000149,patronymic
rq_0000126,excluded_entity,ttn_000313,generated_patronymic,review_candidate,zags_2025,ev_0000150,patronymic
rq_0000127,excluded_entity,ttn_000317,generated_patronymic,review_candidate,zags_2025,ev_0000152,patronymic
rq_0000128,excluded_entity,ttn_000318,generated_patronymic,review_candidate,zags_2025,ev_0000153,patronymic
rq_0000129,excluded_entity,ttn_000322,generated_patronymic,review_candidate,zags_2025,ev_0000155,patronymic
rq_0000130,excluded_entity,ttn_000327,generated_patronymic,review_candidate,zags_2025,ev_0000158,patronymic
rq_0000131,excluded_entity,ttn_000328,generated_patronymic,review_candidate,zags_2025,ev_0000159,patronymic
rq_0000132,excluded_entity,ttn_000332,generated_patronymic,review_candidate,zags_2025,ev_0000161,patronymic
rq_0000133,excluded_entity,ttn_000333,generated_patronymic,review_candidate,zags_2025,ev_0000162,patronymic
rq_0000134,excluded_entity,ttn_000337,generated_patronymic,review_candidate,zags_2025,ev_0000164,patronymic
rq_0000135,excluded_entity,ttn_000338,generated_patronymic,review_candidate,zags_2025,ev_0000165,patronymic
rq_0000136,excluded_entity,ttn_000342,generated_patronymic,review_candidate,zags_2025,ev_0000167,patronymic
rq_0000137,excluded_entity,ttn_000343,generated_patronymic,review_candidate,zags_2025,ev_0000168,patronymic
rq_0000138,excluded_entity,ttn_000347,generated_patronymic,review_candidate,zags_2025,ev_0000170,patronymic
rq_0000139,excluded_entity,ttn_000348,generated_patronymic,review_candidate,zags_2025,ev_0000171,patronymic
