alias_id,name_id,alias,script,language_tag,alias_type,method,confidence,source_id,rule_id
a_0000162,ttn_000167,Abelkaram,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000163,ttn_000167,Әбелкәрам,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000164,ttn_000168,Abelkaramov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000165,ttn_000168,Әбелкәрамов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000166,ttn_000169,Abelkaramova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000167,ttn_000169,Әбелкәрамова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000168,ttn_000172,Abelkarim,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000169,ttn_000172,Әбелкәрим,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000170,ttn_000173,Abelkarimov,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000171,ttn_000173,Әбелкәримов,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000172,ttn_000174,Abelkarimova,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000173,ttn_000174,Әбелкәримова,Cyrl,ru-Cyrl,common_variant,common_variant,0.85,tatar_unified_bootstrap,
a_0000174,ttn_000177,Abelkasim,Latn,ru-Latn,passport_latin,ru_cyrl_to_latn_mvd_doc,0.95,zags_2025,ru_cyrl_to_latn_mvd_doc
a_0000175,ttn_000177,Abelkasyym,Latn,tt-Latn,transliteration,tt_cyrl_to_tt_latn_rt2013,0.99,rt_law_2013,tt_cyrl_to_tt_latn_rt2013
