name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_010952,surname,male,unknown,tatar_registry,Зиннәтҗанов,Зиннатзянов,Zinnatcanov,Zinnatzianov,Зиннатзянов,Зиннәтҗанов,Зиннатзянов,zags_2025,ev_0013871,active,surname
ttn_010953,surname,female,unknown,tatar_registry,Зиннәтҗанова,Зиннатзянова,Zinnatcanova,Zinnatzianova,Зиннатзянова,Зиннәтҗанова,Зиннатзянова,zags_2025,ev_0013872,active,surname
ttn_010956,given,male,unknown,tatar_registry,Зиннәтнур,Зиннатнур,Zinnatnur,Zinnatnur,Зиннатнур,Зиннәтнур,Зиннатнур,zags_2025,ev_0003763,active,given
ttn_010957,surname,male,unknown,tatar_registry,Зиннәтнуров,Зиннатнуров,Zinnatnurov,Zinnatnurov,Зиннатнуров,Зиннәтнуров,Зиннатнуров,zags_2025,ev_0013873,active,surname
ttn_010958,surname,female,unknown,tatar_registry,Зиннәтнурова,Зиннатнурова,Zinnatnurova,Zinnatnurova,Зиннатнурова,Зиннәтнурова,Зиннатнурова,zags_2025,ev_0013874,active,surname
ttn_010961,surname,male,unknown,tatar_registry,Зиннәтов,Зиннатов,Zinnatov,Zinnatov,Зиннатов,Зиннәтов,Зиннатов,zags_2025,ev_0013875,active,surname
ttn_010962,surname,female,unknown,tatar_registry,Зиннәтова,Зиннатова,Zinnatova,Zinnatova,Зиннатова,Зиннәтова,Зиннатова,zags_2025,ev_0013876,active,surname
ttn_010965,given,male,unknown,tatar_registry,Зиннәтулла,Зиннатулла,Zinnatulla,Zinnatulla,Зиннатулла,Зиннәтулла,Зиннатулла,zags_2025,ev_0003766,active,given
ttn_010966,surname,male,unknown,tatar_registry,Зиннәтуллин,Зиннатуллин,Zinnatullin,Zinnatullin,Зиннатуллин,Зиннәтуллин,Зиннатуллин,zags_2025,ev_0013877,active,surname
ttn_010967,surname,female,unknown,tatar_registry,Зиннәтуллина,Зиннатуллина,Zinnatullina,Zinnatullina,Зиннатуллина,Зиннәтуллина,Зиннатуллина,zags_2025,ev_0013878,active,surname
ttn_010970,given,male,unknown,tatar_registry,Зиннәтхан,Зиннатхан,Zinnatxan,Zinnatkhan,Зиннатхан,Зиннәтхан,Зиннатхан,zags_2025,ev_0003769,active,given
ttn_010971,surname,male,unknown,tatar_registry,Зиннәтханов,Зиннатханов,Zinnatxanov,Zinnatkhanov,Зиннатханов,Зиннәтханов,Зиннатханов,zags_2025,ev_0013879,active,surname
